id,name,email,loan_amount,paid_amount,balance_amount,status,tenure,months_completed,default_reason
278,Aadhya Reddy,aadhya.reddy@bank.com,1942300,1942300,0,Paid,24,24,N/A
279,Krishna Murthy,krishna.murthy@bank.com,548900,445981.25,102918.75,Ongoing,48,39,N/A
280,Inaya Murthy 789,inaya.murthy.789@bank.com,1361200,453733.33,907466.6699999999,Defaulted,36,15,Business Multi-sector Failure
281,Myra Patel,myra.patel@bank.com,1130300,1130300,0,Paid,36,36,N/A
282,Ananya Iyer,ananya.iyer@bank.com,66500,66500,0,Paid,60,60,N/A
283,Amit Joshi,amit.joshi@bank.com,787600,787600,0,Paid,12,12,N/A
284,Ashley Moore 319,ashley.moore.319@bank.com,780300,780300,0,Paid,12,12,N/A
285,Reyansh Kumar 531,reyansh.kumar.531@bank.com,1038500,1038500,0,Paid,36,36,N/A
286,Saanvi Iyer 225,saanvi.iyer.225@bank.com,206900,206900,0,Paid,60,60,N/A
287,Ananya Iyer 895,ananya.iyer.895@bank.com,1917900,1917900,0,Paid,24,24,N/A
288,Vihaan Patel,vihaan.patel@bank.com,1664900,665960.0,998940.0,Defaulted,12,6,High Debt Consolidation
289,Zara Nair 612,zara.nair.612@bank.com,1561900,846029.17,715870.83,Ongoing,24,13,N/A
290,Saanvi Iyer 823,saanvi.iyer.823@bank.com,1955500,1955500,0,Paid,48,48,N/A
291,Shweta Aggarwal,shweta.aggarwal@bank.com,797400,797400,0,Paid,48,48,N/A
292,Rahul Mehra,rahul.mehra@bank.com,400600,160240.0,240360.0,Defaulted,12,6,Unemployment / Job Loss
293,Priya Das 266,priya.das.266@bank.com,1835900,1835900,0,Paid,36,36,N/A
294,Aadhya Reddy,aadhya.reddy@bank.com,1283300,42776.67,1240523.33,Defaulted,24,1,High Debt Consolidation
295,Inaya Murthy 173,inaya.murthy.173@bank.com,1421100,1421100,0,Paid,60,60,N/A
296,Reyansh Kumar 426,reyansh.kumar.426@bank.com,1048300,34943.33,1013356.67,Defaulted,24,1,Interest Rate Overrun
297,Karan Oberoi 139,karan.oberoi.139@bank.com,1644900,1644900,0,Paid,12,12,N/A
298,Nisha Bhatia,nisha.bhatia@bank.com,1951000,1951000,0,Paid,60,60,N/A
299,Ananya Iyer 208,ananya.iyer.208@bank.com,1618800,1618800,0,Paid,48,48,N/A
300,Saanvi Iyer 155,saanvi.iyer.155@bank.com,408600,136200.0,272400.0,Defaulted,36,15,Interest Rate Overrun
301,Reyansh Kumar 304,reyansh.kumar.304@bank.com,384300,384300,0,Paid,24,24,N/A
302,Vikram Khanna,vikram.khanna@bank.com,1064000,1064000,0,Paid,60,60,N/A
303,Amit Joshi 232,amit.joshi.232@bank.com,1951300,86724.44,1864575.56,Defaulted,36,2,Business Multi-sector Failure
304,Pari Gupta 137,pari.gupta.137@bank.com,1292200,1292200,0,Paid,24,24,N/A
305,Karan Oberoi 724,karan.oberoi.724@bank.com,1861700,1861700,0,Paid,24,24,N/A
306,Diya Sharma 134,diya.sharma.134@bank.com,312700,312700,0,Paid,60,60,N/A
307,Saanvi Iyer 733,saanvi.iyer.733@bank.com,138600,138600,0,Paid,48,48,N/A
308,Karan Oberoi,karan.oberoi@bank.com,786500,524333.33,262166.67000000004,Ongoing,12,8,N/A
309,Ishaan Nair,ishaan.nair@bank.com,771000,771000,0,Paid,36,36,N/A
310,Aarav Sharma,aarav.sharma@bank.com,720700,720700,0,Paid,12,12,N/A
311,Sarah Miller,sarah.miller@bank.com,1340000,1340000,0,Paid,48,48,N/A
312,Reyansh Kumar 391,reyansh.kumar.391@bank.com,1502600,292172.22,1210427.78,Ongoing,36,7,N/A
313,Rohan Sethi 244,rohan.sethi.244@bank.com,972400,972400,0,Paid,48,48,N/A
314,Diya Sharma 662,diya.sharma.662@bank.com,1078900,1078900,0,Paid,48,48,N/A
315,Anvi Singh 785,anvi.singh.785@bank.com,1738800,1738800,0,Paid,60,60,N/A
316,Vivaan Gupta,vivaan.gupta@bank.com,1258600,1258600,0,Paid,60,60,N/A
317,Sarah Miller,sarah.miller@bank.com,1774900,1774900,0,Paid,12,12,N/A
318,Sarah Miller 132,sarah.miller.132@bank.com,987200,987200,0,Paid,60,60,N/A
319,Vikram Khanna 851,vikram.khanna.851@bank.com,427900,332811.11,95088.89000000001,Ongoing,36,28,N/A
320,Vikram Khanna 831,vikram.khanna.831@bank.com,965800,965800,0,Paid,48,48,N/A
321,David Brown,david.brown@bank.com,1529800,1529800,0,Paid,48,48,N/A
322,Richard Taylor 486,richard.taylor.486@bank.com,102300,40920.0,61380.0,Defaulted,12,6,Interest Rate Overrun
323,Myra Patel,myra.patel@bank.com,1966700,1966700,0,Paid,60,60,N/A
324,Ashley Moore 710,ashley.moore.710@bank.com,669500,8926.67,660573.33,Defaulted,60,1,Personal/Family Crisis
325,James Smith,james.smith@bank.com,270700,270700,0,Paid,60,60,N/A
326,Jennifer Taylor,jennifer.taylor@bank.com,1234600,1234600,0,Paid,36,36,N/A
327,Arjun Verma 465,arjun.verma.465@bank.com,404900,404900,0,Paid,60,60,N/A
328,Anvi Singh 282,anvi.singh.282@bank.com,681800,681800,0,Paid,24,24,N/A
329,Ananya Iyer 573,ananya.iyer.573@bank.com,1398800,1398800,0,Paid,36,36,N/A
330,Jessica Wilson,jessica.wilson@bank.com,476100,476100,0,Paid,60,60,N/A
331,Zara Nair,zara.nair@bank.com,1351500,1351500,0,Paid,24,24,N/A
332,Anvi Singh,anvi.singh@bank.com,1779900,1779900,0,Paid,12,12,N/A
333,Karan Oberoi 859,karan.oberoi.859@bank.com,1203100,1203100,0,Paid,24,24,N/A
334,Saanvi Iyer,saanvi.iyer@bank.com,533300,533300,0,Paid,12,12,N/A
335,Rohan Sethi 577,rohan.sethi.577@bank.com,179200,164266.67,14933.329999999987,Ongoing,60,55,N/A
336,Aarav Sharma 723,aarav.sharma.723@bank.com,1952000,1952000,0,Paid,48,48,N/A
337,Saanvi Iyer,saanvi.iyer@bank.com,1681100,1681100,0,Paid,12,12,N/A
338,Jennifer Taylor 927,jennifer.taylor.927@bank.com,725100,725100,0,Paid,24,24,N/A
339,Shanaya Kumar 340,shanaya.kumar.340@bank.com,1598500,586116.67,1012383.33,Defaulted,24,11,High Debt Consolidation
340,Shweta Aggarwal 195,shweta.aggarwal.195@bank.com,1913300,1913300,0,Paid,36,36,N/A
341,Shanaya Kumar,shanaya.kumar@bank.com,555800,185266.67,370533.32999999996,Ongoing,12,4,N/A
342,Aarav Sharma,aarav.sharma@bank.com,1856600,1856600,0,Paid,24,24,N/A
343,Amit Joshi,amit.joshi@bank.com,1485500,1485500,0,Paid,36,36,N/A
344,Aarav Sharma 845,aarav.sharma.845@bank.com,26200,10480.0,15720.0,Ongoing,60,24,N/A
345,Ananya Iyer,ananya.iyer@bank.com,1601400,1601400,0,Paid,60,60,N/A
346,Richard Taylor 993,richard.taylor.993@bank.com,917700,917700,0,Paid,12,12,N/A
347,Aaryan Iyer 507,aaryan.iyer.507@bank.com,1295800,107983.33,1187816.67,Ongoing,48,4,N/A
348,Shanaya Kumar,shanaya.kumar@bank.com,284500,18966.67,265533.33,Defaulted,24,2,Unemployment / Job Loss
349,Rohan Sethi 487,rohan.sethi.487@bank.com,282900,282900,0,Paid,24,24,N/A
350,Amit Joshi,amit.joshi@bank.com,974100,974100,0,Paid,12,12,N/A
351,Arjun Verma,arjun.verma@bank.com,1543200,1414600.0,128600.0,Ongoing,12,11,N/A
352,Sonal Kapoor 942,sonal.kapoor.942@bank.com,302900,302900,0,Paid,60,60,N/A
353,Sonal Kapoor,sonal.kapoor@bank.com,1957200,1957200,0,Paid,12,12,N/A
354,Myra Patel 245,myra.patel.245@bank.com,747400,747400,0,Paid,24,24,N/A
355,Shanaya Kumar 514,shanaya.kumar.514@bank.com,842100,842100,0,Paid,24,24,N/A
356,Diya Sharma 366,diya.sharma.366@bank.com,1103500,597729.17,505770.82999999996,Ongoing,24,13,N/A
357,Priya Das 631,priya.das.631@bank.com,499600,235922.22,263677.78,Ongoing,36,17,N/A
358,Priya Das,priya.das@bank.com,703900,62568.89,641331.11,Defaulted,36,4,High Debt Consolidation
359,Richard Taylor,richard.taylor@bank.com,968000,968000,0,Paid,12,12,N/A
360,Michael Johnson,michael.johnson@bank.com,1752200,233626.67,1518573.33,Defaulted,24,4,Medical Emergency / High Bills
361,Vikram Khanna 932,vikram.khanna.932@bank.com,1160800,1160800,0,Paid,36,36,N/A
362,Emily Davis 410,emily.davis.410@bank.com,1298600,1298600,0,Paid,24,24,N/A
363,Ananya Iyer 453,ananya.iyer.453@bank.com,1044300,34810.0,1009490.0,Defaulted,24,1,Unemployment / Job Loss
364,Jessica Wilson 640,jessica.wilson.640@bank.com,1340800,335200.0,1005600.0,Ongoing,60,15,N/A
365,Pari Gupta,pari.gupta@bank.com,649000,259600.0,389400.0,Defaulted,12,6,Business Multi-sector Failure
366,Diya Sharma,diya.sharma@bank.com,501000,501000,0,Paid,12,12,N/A
367,Jennifer Taylor 537,jennifer.taylor.537@bank.com,661800,661800,0,Paid,24,24,N/A
368,Sai Reddy,sai.reddy@bank.com,183300,183300,0,Paid,24,24,N/A
369,Priya Das 524,priya.das.524@bank.com,1772300,406152.08,1366147.92,Ongoing,48,11,N/A
370,Shanaya Kumar 248,shanaya.kumar.248@bank.com,1882300,376460.0,1505840.0,Defaulted,12,3,Personal/Family Crisis
371,Rohan Sethi,rohan.sethi@bank.com,1025400,1025400,0,Paid,12,12,N/A
372,Aditya Singh 614,aditya.singh.614@bank.com,192000,192000,0,Paid,12,12,N/A
373,Vikram Khanna 315,vikram.khanna.315@bank.com,1383100,1383100,0,Paid,36,36,N/A
374,Ishaan Nair 208,ishaan.nair.208@bank.com,531200,165262.22,365937.78,Defaulted,36,14,Interest Rate Overrun
375,Ashley Moore,ashley.moore@bank.com,1119000,699375.0,419625.0,Ongoing,24,15,N/A
376,Karan Oberoi 202,karan.oberoi.202@bank.com,1636400,1636400,0,Paid,36,36,N/A
377,Aditya Singh 616,aditya.singh.616@bank.com,1391400,1391400,0,Paid,12,12,N/A
378,Richard Taylor 299,richard.taylor.299@bank.com,1710200,1068875.0,641325.0,Ongoing,24,15,N/A
379,Sonal Kapoor,sonal.kapoor@bank.com,704600,704600,0,Paid,60,60,N/A
380,Rahul Mehra,rahul.mehra@bank.com,515900,515900,0,Paid,36,36,N/A
381,Pari Gupta 274,pari.gupta.274@bank.com,186700,12446.67,174253.33,Defaulted,12,1,Unemployment / Job Loss
382,Deepak Malhotra,deepak.malhotra@bank.com,1063600,236355.56,827244.44,Defaulted,36,10,Unemployment / Job Loss
383,Ashley Moore,ashley.moore@bank.com,1297900,1297900,0,Paid,48,48,N/A
384,Aditya Singh 845,aditya.singh.845@bank.com,1953600,1953600,0,Paid,60,60,N/A
385,Emily Davis 170,emily.davis.170@bank.com,1378000,1378000,0,Paid,12,12,N/A
386,Rahul Mehra 141,rahul.mehra.141@bank.com,1253000,1253000,0,Paid,60,60,N/A
387,Shweta Aggarwal 473,shweta.aggarwal.473@bank.com,1583000,1292783.33,290216.6699999999,Ongoing,60,49,N/A
388,Shanaya Kumar,shanaya.kumar@bank.com,602800,602800,0,Paid,12,12,N/A
389,Arjun Verma,arjun.verma@bank.com,244000,6506.67,237493.33,Defaulted,60,2,Unemployment / Job Loss
390,Priya Das 710,priya.das.710@bank.com,144000,144000,0,Paid,12,12,N/A
391,Aditya Singh,aditya.singh@bank.com,1069400,1069400,0,Paid,36,36,N/A
392,James Smith,james.smith@bank.com,906500,906500,0,Paid,36,36,N/A
393,Myra Patel,myra.patel@bank.com,1350700,90046.67,1260653.33,Defaulted,60,5,Interest Rate Overrun
394,Ananya Iyer,ananya.iyer@bank.com,899300,275785.33,623514.6699999999,Defaulted,60,23,Medical Emergency / High Bills
395,Sarah Miller,sarah.miller@bank.com,1750500,389000.0,1361500.0,Defaulted,36,10,Medical Emergency / High Bills
396,Pari Gupta,pari.gupta@bank.com,548900,548900,0,Paid,12,12,N/A
397,Vihaan Patel,vihaan.patel@bank.com,1723700,1723700,0,Paid,24,24,N/A
398,Aditya Singh 357,aditya.singh.357@bank.com,1124800,1124800,0,Paid,60,60,N/A
399,Emily Davis 347,emily.davis.347@bank.com,1607900,1607900,0,Paid,36,36,N/A
400,Deepak Malhotra,deepak.malhotra@bank.com,1449800,531593.33,918206.67,Defaulted,48,22,Personal/Family Crisis
401,James Smith,james.smith@bank.com,534400,534400,0,Paid,36,36,N/A
402,Arjun Verma,arjun.verma@bank.com,1063500,1063500,0,Paid,36,36,N/A
403,Vivaan Gupta,vivaan.gupta@bank.com,864000,288000.0,576000.0,Defaulted,12,5,High Debt Consolidation
404,David Brown,david.brown@bank.com,132700,132700,0,Paid,12,12,N/A
405,Vihaan Patel 776,vihaan.patel.776@bank.com,1904800,126986.67,1777813.33,Defaulted,12,1,Business Multi-sector Failure
406,Jessica Wilson 603,jessica.wilson.603@bank.com,1392500,1392500,0,Paid,48,48,N/A
407,Karan Oberoi 472,karan.oberoi.472@bank.com,1865700,1865700,0,Paid,12,12,N/A
408,Sarah Miller,sarah.miller@bank.com,1893000,1893000,0,Paid,36,36,N/A
409,Aditya Singh,aditya.singh@bank.com,1508900,1508900,0,Paid,60,60,N/A
410,Saanvi Iyer 800,saanvi.iyer.800@bank.com,874800,801900.0,72900.0,Ongoing,36,33,N/A
411,Inaya Murthy,inaya.murthy@bank.com,1993000,1993000,0,Paid,36,36,N/A
412,Ananya Iyer 628,ananya.iyer.628@bank.com,436600,436600,0,Paid,48,48,N/A
413,Vivaan Gupta 943,vivaan.gupta.943@bank.com,126900,126900,0,Paid,60,60,N/A
414,Saanvi Iyer 318,saanvi.iyer.318@bank.com,506300,421916.67,84383.33000000002,Ongoing,48,40,N/A
415,Aaryan Iyer 125,aaryan.iyer.125@bank.com,1144000,71500.0,1072500.0,Ongoing,48,3,N/A
416,Krishna Murthy,krishna.murthy@bank.com,419600,55946.67,363653.33,Defaulted,24,4,Medical Emergency / High Bills
417,Robert Williams 407,robert.williams.407@bank.com,450700,450700,0,Paid,12,12,N/A
418,Aadhya Reddy 368,aadhya.reddy.368@bank.com,349800,349800,0,Paid,48,48,N/A
419,Reyansh Kumar 146,reyansh.kumar.146@bank.com,1528000,1528000,0,Paid,36,36,N/A
420,Ishaan Nair 144,ishaan.nair.144@bank.com,543700,543700,0,Paid,12,12,N/A
421,Ananya Iyer,ananya.iyer@bank.com,1846100,1846100,0,Paid,48,48,N/A
422,Arjun Verma 740,arjun.verma.740@bank.com,1377500,1377500,0,Paid,36,36,N/A
423,David Brown 338,david.brown.338@bank.com,1810700,1810700,0,Paid,24,24,N/A
424,Reyansh Kumar 686,reyansh.kumar.686@bank.com,1512700,100846.67,1411853.33,Defaulted,12,1,Personal/Family Crisis
425,Sonal Kapoor 992,sonal.kapoor.992@bank.com,1055400,117266.67,938133.33,Defaulted,36,5,Personal/Family Crisis
426,Rohan Sethi,rohan.sethi@bank.com,1031900,1031900,0,Paid,48,48,N/A
427,Sai Reddy 383,sai.reddy.383@bank.com,325900,325900,0,Paid,60,60,N/A
428,Aadhya Reddy,aadhya.reddy@bank.com,36000,36000,0,Paid,12,12,N/A
429,Aadhya Reddy,aadhya.reddy@bank.com,1078000,1078000,0,Paid,36,36,N/A
430,Richard Taylor,richard.taylor@bank.com,691300,230433.33,460866.67000000004,Ongoing,12,4,N/A
431,Myra Patel,myra.patel@bank.com,1005300,1005300,0,Paid,36,36,N/A
432,Jennifer Taylor 643,jennifer.taylor.643@bank.com,912900,547740.0,365160.0,Ongoing,60,36,N/A
433,Amit Joshi,amit.joshi@bank.com,1912800,350680.0,1562120.0,Defaulted,48,11,Personal/Family Crisis
434,Sai Reddy 756,sai.reddy.756@bank.com,1436000,1436000,0,Paid,36,36,N/A
435,Ishaan Nair 117,ishaan.nair.117@bank.com,950000,950000,0,Paid,24,24,N/A
436,Sai Reddy,sai.reddy@bank.com,1617500,1482708.33,134791.66999999993,Ongoing,36,33,N/A
437,Shweta Aggarwal 430,shweta.aggarwal.430@bank.com,1359600,1359600,0,Paid,60,60,N/A
438,Jennifer Taylor 395,jennifer.taylor.395@bank.com,1538500,256416.67,1282083.33,Ongoing,36,6,N/A
439,Aadhya Reddy 564,aadhya.reddy.564@bank.com,291600,291600,0,Paid,48,48,N/A
440,Vivaan Gupta 648,vivaan.gupta.648@bank.com,110100,110100,0,Paid,60,60,N/A
441,Emily Davis,emily.davis@bank.com,1523000,1523000,0,Paid,60,60,N/A
442,Aditya Singh 439,aditya.singh.439@bank.com,1691600,1691600,0,Paid,60,60,N/A
443,Ashley Moore 475,ashley.moore.475@bank.com,1398300,186440.0,1211860.0,Defaulted,24,4,Medical Emergency / High Bills
444,Rahul Mehra 613,rahul.mehra.613@bank.com,882600,882600,0,Paid,60,60,N/A
445,James Smith,james.smith@bank.com,1223000,1223000,0,Paid,36,36,N/A
446,Shweta Aggarwal,shweta.aggarwal@bank.com,18200,18200,0,Paid,24,24,N/A
447,Priya Das 990,priya.das.990@bank.com,140400,2340.0,138060.0,Defaulted,48,1,Personal/Family Crisis
448,Aarav Sharma,aarav.sharma@bank.com,434800,434800,0,Paid,36,36,N/A
449,Aadhya Reddy 661,aadhya.reddy.661@bank.com,1084100,1084100,0,Paid,60,60,N/A
450,Deepak Malhotra,deepak.malhotra@bank.com,755700,755700,0,Paid,60,60,N/A
451,David Brown 134,david.brown.134@bank.com,402100,160840.0,241260.0,Defaulted,24,12,Business Multi-sector Failure
452,Saanvi Iyer,saanvi.iyer@bank.com,723900,723900,0,Paid,12,12,N/A
453,Shweta Aggarwal,shweta.aggarwal@bank.com,1714800,1714800,0,Paid,12,12,N/A
454,Aadhya Reddy,aadhya.reddy@bank.com,561400,163741.67,397658.32999999996,Ongoing,24,7,N/A
455,Ashley Moore 579,ashley.moore.579@bank.com,553800,323050.0,230750.0,Ongoing,12,7,N/A
456,Diya Sharma,diya.sharma@bank.com,64800,64800,0,Paid,36,36,N/A
457,Anvi Singh 198,anvi.singh.198@bank.com,1172600,1172600,0,Paid,12,12,N/A
458,David Brown 837,david.brown.837@bank.com,862300,862300,0,Paid,36,36,N/A
459,Jennifer Taylor,jennifer.taylor@bank.com,1095500,1095500,0,Paid,36,36,N/A
460,Deepak Malhotra 164,deepak.malhotra.164@bank.com,1129900,75326.67,1054573.33,Defaulted,24,2,Medical Emergency / High Bills
461,Jessica Wilson,jessica.wilson@bank.com,1178700,98225.0,1080475.0,Ongoing,24,2,N/A
462,Robert Williams,robert.williams@bank.com,1558000,1558000,0,Paid,24,24,N/A
463,Deepak Malhotra,deepak.malhotra@bank.com,652400,652400,0,Paid,60,60,N/A
464,Robert Williams 436,robert.williams.436@bank.com,1403900,1403900,0,Paid,24,24,N/A
465,Inaya Murthy 904,inaya.murthy.904@bank.com,963100,963100,0,Paid,12,12,N/A
466,Krishna Murthy 444,krishna.murthy.444@bank.com,1843200,1843200,0,Paid,60,60,N/A
467,Aaryan Iyer,aaryan.iyer@bank.com,598500,598500,0,Paid,24,24,N/A
468,Vihaan Patel,vihaan.patel@bank.com,548400,219360.0,329040.0,Defaulted,24,12,Medical Emergency / High Bills
469,Nisha Bhatia 719,nisha.bhatia.719@bank.com,1148900,287225.0,861675.0,Ongoing,36,9,N/A
470,Amit Joshi 422,amit.joshi.422@bank.com,60700,60700,0,Paid,36,36,N/A
471,Nisha Bhatia 866,nisha.bhatia.866@bank.com,1761800,1761800,0,Paid,60,60,N/A
472,Amit Joshi 453,amit.joshi.453@bank.com,810500,810500,0,Paid,36,36,N/A
473,Sai Reddy 529,sai.reddy.529@bank.com,1455600,252304.0,1203296.0,Defaulted,60,13,Unemployment / Job Loss
474,Diya Sharma 466,diya.sharma.466@bank.com,664000,664000,0,Paid,36,36,N/A
475,Shanaya Kumar,shanaya.kumar@bank.com,1275400,1275400,0,Paid,12,12,N/A
476,Krishna Murthy 705,krishna.murthy.705@bank.com,1400200,373386.67,1026813.3300000001,Defaulted,12,4,Unemployment / Job Loss
477,Diya Sharma,diya.sharma@bank.com,1673700,89264.0,1584436.0,Defaulted,60,4,High Debt Consolidation
478,David Brown,david.brown@bank.com,1034700,1034700,0,Paid,48,48,N/A
479,Sai Reddy 656,sai.reddy.656@bank.com,1031600,859666.67,171933.32999999996,Ongoing,24,20,N/A
480,Pari Gupta,pari.gupta@bank.com,1960900,522906.67,1437993.33,Defaulted,60,20,Unemployment / Job Loss
481,Zara Nair 582,zara.nair.582@bank.com,451600,451600,0,Paid,36,36,N/A
482,Deepak Malhotra,deepak.malhotra@bank.com,523800,523800,0,Paid,48,48,N/A
483,Rahul Mehra,rahul.mehra@bank.com,1171100,1073508.33,97591.66999999993,Ongoing,36,33,N/A
484,Priya Das 501,priya.das.501@bank.com,296900,296900,0,Paid,24,24,N/A
485,Jennifer Taylor 297,jennifer.taylor.297@bank.com,1333200,1333200,0,Paid,24,24,N/A
486,Nisha Bhatia,nisha.bhatia@bank.com,1136800,1136800,0,Paid,36,36,N/A
487,Priya Das,priya.das@bank.com,1380600,1380600,0,Paid,24,24,N/A
488,Amit Joshi,amit.joshi@bank.com,1669500,1669500,0,Paid,48,48,N/A
489,Sonal Kapoor,sonal.kapoor@bank.com,374300,374300,0,Paid,36,36,N/A
490,Karan Oberoi,karan.oberoi@bank.com,1877500,1877500,0,Paid,60,60,N/A
491,Amit Joshi,amit.joshi@bank.com,523700,523700,0,Paid,60,60,N/A
492,Priya Das 770,priya.das.770@bank.com,756800,756800,0,Paid,60,60,N/A
493,Myra Patel 917,myra.patel.917@bank.com,1182900,1182900,0,Paid,48,48,N/A
494,Amit Joshi 294,amit.joshi.294@bank.com,1813700,1813700,0,Paid,24,24,N/A
495,Vikram Khanna 877,vikram.khanna.877@bank.com,584600,194866.67,389733.32999999996,Defaulted,24,10,Unemployment / Job Loss
496,Pari Gupta 774,pari.gupta.774@bank.com,1312700,1312700,0,Paid,36,36,N/A
497,Vikram Khanna,vikram.khanna@bank.com,1654600,1240950.0,413650.0,Ongoing,48,36,N/A
498,Karan Oberoi,karan.oberoi@bank.com,588100,156826.67,431273.32999999996,Defaulted,24,8,Personal/Family Crisis
499,Arjun Verma 571,arjun.verma.571@bank.com,1704300,530226.67,1174073.33,Defaulted,36,14,Medical Emergency / High Bills
500,Deepak Malhotra 470,deepak.malhotra.470@bank.com,1476500,1476500,0,Paid,36,36,N/A
501,Vihaan Patel 341,vihaan.patel.341@bank.com,1200600,1200600,0,Paid,36,36,N/A
502,Myra Patel,myra.patel@bank.com,615000,615000,0,Paid,24,24,N/A
503,Aadhya Reddy 214,aadhya.reddy.214@bank.com,565100,263713.33,301386.67,Ongoing,60,28,N/A
504,Shweta Aggarwal,shweta.aggarwal@bank.com,1570300,1570300,0,Paid,24,24,N/A
505,Vivaan Gupta 470,vivaan.gupta.470@bank.com,765600,765600,0,Paid,12,12,N/A
506,Sarah Miller 291,sarah.miller.291@bank.com,1754300,1754300,0,Paid,24,24,N/A
507,Karan Oberoi 487,karan.oberoi.487@bank.com,16400,16400,0,Paid,12,12,N/A
508,Sarah Miller 434,sarah.miller.434@bank.com,618000,401700.0,216300.0,Ongoing,60,39,N/A
509,Aditya Singh 232,aditya.singh.232@bank.com,701600,701600,0,Paid,24,24,N/A
510,Aditya Singh,aditya.singh@bank.com,1267000,1267000,0,Paid,12,12,N/A
511,Anvi Singh 391,anvi.singh.391@bank.com,1321900,1321900,0,Paid,24,24,N/A
512,Sarah Miller,sarah.miller@bank.com,73000,73000,0,Paid,60,60,N/A
513,Saanvi Iyer,saanvi.iyer@bank.com,1433700,238950.0,1194750.0,Ongoing,24,4,N/A
514,Rohan Sethi 478,rohan.sethi.478@bank.com,1772900,369354.17,1403545.83,Ongoing,24,5,N/A
515,Vihaan Patel,vihaan.patel@bank.com,1628700,180966.67,1447733.33,Ongoing,36,4,N/A
516,Arjun Verma,arjun.verma@bank.com,57400,33483.33,23916.67,Ongoing,24,14,N/A
517,Karan Oberoi 878,karan.oberoi.878@bank.com,546900,182300.0,364600.0,Defaulted,24,10,High Debt Consolidation
518,Diya Sharma,diya.sharma@bank.com,1597100,532366.67,1064733.33,Defaulted,12,5,Interest Rate Overrun
519,Priya Das,priya.das@bank.com,966300,966300,0,Paid,60,60,N/A
520,Pari Gupta,pari.gupta@bank.com,1143000,1143000,0,Paid,12,12,N/A
521,David Brown,david.brown@bank.com,525200,328250.0,196950.0,Ongoing,24,15,N/A
522,Priya Das 232,priya.das.232@bank.com,355900,142360.0,213540.0,Ongoing,60,24,N/A
523,Pari Gupta 865,pari.gupta.865@bank.com,1573600,1573600,0,Paid,48,48,N/A
524,Deepak Malhotra 432,deepak.malhotra.432@bank.com,914200,914200,0,Paid,48,48,N/A
525,Robert Williams 768,robert.williams.768@bank.com,890600,890600,0,Paid,48,48,N/A
526,Sai Reddy 865,sai.reddy.865@bank.com,1355200,1355200,0,Paid,36,36,N/A
527,Richard Taylor,richard.taylor@bank.com,248600,248600,0,Paid,36,36,N/A
528,Nisha Bhatia,nisha.bhatia@bank.com,1779600,29660.0,1749940.0,Ongoing,60,1,N/A
529,Sarah Miller,sarah.miller@bank.com,1743200,1743200,0,Paid,36,36,N/A
530,Aarav Sharma,aarav.sharma@bank.com,1046500,1046500,0,Paid,60,60,N/A
531,Aarav Sharma,aarav.sharma@bank.com,251000,251000,0,Paid,60,60,N/A
532,Krishna Murthy 217,krishna.murthy.217@bank.com,1066600,71106.67,995493.33,Defaulted,12,1,Personal/Family Crisis
533,Anvi Singh 508,anvi.singh.508@bank.com,834600,194740.0,639860.0,Ongoing,60,14,N/A
534,Aadhya Reddy,aadhya.reddy@bank.com,1021300,404264.58,617035.4199999999,Ongoing,48,19,N/A
535,James Smith 821,james.smith.821@bank.com,328500,191625.0,136875.0,Ongoing,24,14,N/A
536,Karan Oberoi 529,karan.oberoi.529@bank.com,1895100,1895100,0,Paid,24,24,N/A
537,Michael Johnson 519,michael.johnson.519@bank.com,398500,19925.0,378575.0,Defaulted,48,3,Medical Emergency / High Bills
538,Inaya Murthy,inaya.murthy@bank.com,1107900,507787.5,600112.5,Ongoing,48,22,N/A
539,Richard Taylor 668,richard.taylor.668@bank.com,530500,530500,0,Paid,24,24,N/A
540,Richard Taylor,richard.taylor@bank.com,702400,702400,0,Paid,48,48,N/A
541,Inaya Murthy 732,inaya.murthy.732@bank.com,1657200,1657200,0,Paid,12,12,N/A
542,Aadhya Reddy 937,aadhya.reddy.937@bank.com,1217400,1217400,0,Paid,48,48,N/A
543,Robert Williams 548,robert.williams.548@bank.com,825200,275066.67,550133.3300000001,Defaulted,12,5,Interest Rate Overrun
544,Aarav Sharma,aarav.sharma@bank.com,580000,580000,0,Paid,48,48,N/A
545,Shanaya Kumar 442,shanaya.kumar.442@bank.com,267000,173550.0,93450.0,Ongoing,60,39,N/A
546,Sarah Miller,sarah.miller@bank.com,819000,819000,0,Paid,12,12,N/A
547,Ashley Moore,ashley.moore@bank.com,519400,519400,0,Paid,48,48,N/A
548,Shanaya Kumar 930,shanaya.kumar.930@bank.com,543800,543800,0,Paid,12,12,N/A
549,Aadhya Reddy 853,aadhya.reddy.853@bank.com,1805300,1805300,0,Paid,36,36,N/A
550,Priya Das,priya.das@bank.com,1680500,1680500,0,Paid,60,60,N/A
551,Nisha Bhatia 797,nisha.bhatia.797@bank.com,1587800,423413.33,1164386.67,Defaulted,12,4,Personal/Family Crisis
552,Pari Gupta 843,pari.gupta.843@bank.com,1572700,471810.0,1100890.0,Defaulted,24,9,Unemployment / Job Loss
553,Karan Oberoi 975,karan.oberoi.975@bank.com,1750600,1750600,0,Paid,12,12,N/A
554,Michael Johnson 185,michael.johnson.185@bank.com,1348200,1348200,0,Paid,48,48,N/A
