name,age,credit_score,income,loan_amount,employment_type,existing_emi,tenure,loan_type,default_status
Jessica Verma,57,718,490893,1603105,Government,1403,12,Personal Loan,1
Amit Singh,67,376,319481,1151403,Government,8554,6,Auto Loan,1
Vikram Murthy 37,59,568,295569,144213,Business,5382,18,Personal Loan,0
Rohan Martinez,56,395,789079,3944099,Salaried,18035,24,Education Loan,1
Pari Davis 87,24,732,429195,1789293,Contract,0,60,Auto Loan,1
Linda Smith,67,698,722024,477172,Government,16482,60,Education Loan,0
Inaya Rodriguez 7,56,330,351108,647082,Contract,4033,12,Auto Loan,1
Zara Smith,66,630,665728,2375311,Self-employed,0,6,Personal Loan,1
Anvi Joshi 67,47,394,1305330,3063807,Contract,18936,60,Home Loan,1
Michael Martinez,37,402,848902,2655452,Contract,9797,36,Home Loan,1
Zara Iyer,21,439,466284,2020044,Government,0,18,Education Loan,1
Myra Martinez 90,69,784,696845,322884,Business,19751,12,Business Loan,1
Jessica Brown,44,570,516898,595896,Business,0,60,Home Loan,0
Aarav Verma,62,647,600025,1494651,Contract,0,6,Auto Loan,1
Zara Das 47,44,554,491213,468642,Self-employed,227,60,Home Loan,0
Myra Reddy 41,30,525,541121,490577,Self-employed,0,12,Personal Loan,1
Robert Brown,57,742,678239,1196617,Government,0,6,Business Loan,1
Aarav Sharma,37,633,329056,1284050,Contract,0,18,Education Loan,1
Aditya Bhatia 70,31,831,324640,655579,Business,5644,48,Home Loan,0
Jennifer Patel,48,461,259594,836976,Business,8235,48,Home Loan,1
Anvi Singh,64,439,228624,504507,Self-employed,5063,24,Business Loan,1
Amit Singh,29,760,287687,1089433,Self-employed,7354,60,Auto Loan,1
Barbara Reddy 90,55,821,657156,2328733,Government,0,24,Personal Loan,1
Saanvi Iyer,21,837,349523,121954,Business,0,12,Education Loan,0
Amit Garcia,30,528,812741,4003047,Contract,0,60,Auto Loan,1
Patricia Oberoi 63,69,698,609764,911707,Business,0,12,Auto Loan,1
Ishaan Malhotra,63,510,183303,727281,Government,4134,60,Home Loan,1
Diya Verma,24,758,884683,496151,Government,0,48,Business Loan,0
Karan Nair,42,376,971385,366508,Government,17137,36,Home Loan,1
Deepak Iyer,67,686,328957,89017,Self-employed,4092,24,Personal Loan,0
Michael Oberoi,44,685,768437,2361241,Government,8093,6,Education Loan,1
Deepak Oberoi,56,841,357217,1008149,Contract,9798,48,Education Loan,0
Pari Martinez,22,837,633238,335128,Salaried,5959,48,Home Loan,0
Diya Sharma,47,823,279651,95321,Business,6174,18,Auto Loan,0
Robert Miller,70,415,203645,862229,Self-employed,5364,48,Business Loan,1
Karan Davis,35,374,474638,1724120,Salaried,7978,60,Auto Loan,1
David Mehra,58,780,554467,1627900,Government,0,60,Business Loan,0
Ishaan Verma,56,333,470425,242453,Contract,7409,24,Home Loan,1
David Rodriguez,28,463,293484,1417443,Business,4311,24,Personal Loan,1
Karan Verma,52,840,469799,349515,Salaried,0,48,Home Loan,0
Aadhya Gupta,26,381,701921,1936389,Contract,565,12,Personal Loan,1
Anvi Malhotra 22,46,391,581324,1659986,Contract,0,36,Auto Loan,1
Aarav Rodriguez 59,59,485,666303,2556697,Salaried,0,60,Home Loan,1
Aarav Joshi,49,332,399484,418583,Contract,7457,60,Personal Loan,1
Amit Davis 36,45,696,1206254,718147,Self-employed,1441,24,Business Loan,0
Aditya Smith 47,24,307,294871,673114,Self-employed,8722,18,Home Loan,1
Aarav Verma 91,32,731,800135,667172,Salaried,0,60,Education Loan,0
Nisha Mehra,44,376,1213639,4962148,Business,0,12,Home Loan,1
Myra Oberoi,58,453,796948,1281810,Salaried,2480,60,Home Loan,0
Inaya Murthy,36,351,528863,670081,Government,0,36,Auto Loan,1
Zara Verma,53,319,434965,1553842,Salaried,4327,24,Home Loan,1
Aditya Joshi 56,54,546,1111979,3683153,Business,0,6,Personal Loan,1
Michael Rodriguez 47,53,597,254286,525062,Business,497,36,Personal Loan,0
Aarav Malhotra,21,397,333675,667834,Business,0,36,Education Loan,1
Jennifer Sharma 15,52,657,470459,167130,Business,0,48,Education Loan,0
Linda Patel,43,321,1254932,1941010,Salaried,27085,48,Home Loan,1
Michael Khanna 94,59,741,750024,1394840,Contract,21760,36,Business Loan,1
Deepak Rodriguez,56,797,334092,195643,Salaried,4270,48,Auto Loan,0
James Khanna,39,446,495744,1818584,Government,0,36,Business Loan,1
Amit Davis,58,677,413083,786768,Contract,684,48,Education Loan,0
Jennifer Iyer,51,500,390087,1901531,Government,3306,60,Business Loan,1
Karan Murthy,23,325,1074465,3131383,Self-employed,0,6,Education Loan,1
Jessica Khanna,30,502,262223,578999,Government,0,24,Personal Loan,1
Ishaan Singh,41,507,1567932,5286379,Salaried,0,48,Personal Loan,1
Ishaan Das,57,654,981598,1605903,Salaried,8700,6,Personal Loan,0
Myra Nair,70,574,1149131,3288173,Contract,0,12,Education Loan,1
Zara Brown,61,405,452361,147578,Contract,0,36,Business Loan,0
Inaya Verma,24,691,545815,855554,Business,15223,24,Business Loan,1
Anvi Sharma,24,567,252738,1168694,Salaried,655,60,Auto Loan,0
Saanvi Iyer,43,779,435915,1934319,Contract,2479,24,Personal Loan,1
Michael Reddy 14,37,544,803066,2198650,Self-employed,0,18,Home Loan,0
Barbara Johnson 70,69,719,1299691,2364486,Contract,0,60,Personal Loan,0
Patricia Gupta,43,490,307338,843458,Self-employed,7902,6,Auto Loan,1
Nisha Mehra 94,63,530,479594,1964851,Self-employed,8429,6,Personal Loan,1
Myra Garcia,30,366,545370,1631770,Salaried,5969,60,Business Loan,1
Aditya Nair,52,600,258467,1257046,Business,0,48,Auto Loan,1
Saanvi Verma 32,53,765,851546,3434038,Government,0,48,Auto Loan,0
Barbara Smith,44,723,386777,996966,Contract,0,24,Education Loan,1
Jennifer Murthy,66,787,531131,663123,Business,8657,6,Home Loan,1
Amit Iyer,23,634,455353,985174,Business,14808,18,Personal Loan,1
Aarav Rodriguez,54,536,371906,342712,Contract,5503,60,Education Loan,0
Inaya Singh 93,61,388,594676,1783114,Government,3174,18,Home Loan,1
Rahul Patel,63,520,524727,1269830,Contract,0,12,Personal Loan,1
Vikram Joshi,64,793,477770,1736973,Government,2275,6,Personal Loan,0
Myra Sharma 22,22,755,385741,456666,Government,11389,60,Home Loan,0
Rohan Miller 45,47,612,723397,1714385,Self-employed,0,6,Business Loan,1
Ishaan Sharma,51,319,1610685,428783,Contract,14417,36,Home Loan,1
Priya Johnson,53,406,649483,1391247,Government,0,36,Personal Loan,1
Rohan Rodriguez,64,338,1085629,4130890,Self-employed,0,24,Home Loan,1
Inaya Joshi,37,686,259332,94169,Contract,6605,24,Home Loan,0
David Joshi,33,762,656486,3001660,Self-employed,4407,48,Personal Loan,1
Rahul Sharma 83,54,535,309149,473147,Salaried,4140,24,Business Loan,1
Nisha Oberoi,47,398,246186,289670,Self-employed,3898,12,Home Loan,1
James Das,25,672,383224,711917,Self-employed,2368,48,Education Loan,1
Ishaan Joshi,52,364,1220949,2635818,Self-employed,0,18,Personal Loan,1
Pari Patel,30,823,1056011,2710739,Contract,16617,24,Auto Loan,1
Aadhya Williams,58,390,690936,1522653,Contract,0,36,Education Loan,1
Michael Mehra,55,636,238084,1082662,Contract,0,60,Personal Loan,0
Robert Nair 83,54,398,530848,804073,Contract,0,36,Auto Loan,1
Saanvi Gupta 32,70,478,715702,289959,Self-employed,19424,24,Personal Loan,1
Inaya Garcia 100,69,463,663524,869053,Salaried,8599,36,Personal Loan,1
Diya Bhatia,26,583,197545,706819,Salaried,3696,6,Auto Loan,1
Linda Davis,56,506,350042,1342393,Self-employed,0,24,Auto Loan,1
Karan Miller,62,735,574671,2053098,Government,15381,12,Business Loan,1
David Murthy 25,60,639,823875,2698178,Self-employed,15626,36,Personal Loan,1
Vikram Joshi,58,557,159903,526592,Government,3775,48,Home Loan,1
Anvi Murthy 65,38,662,541839,684264,Government,12904,36,Auto Loan,0
Rohan Reddy,47,375,650716,1803440,Contract,4161,18,Auto Loan,1
Ishaan Oberoi 49,23,588,994273,821796,Business,0,12,Auto Loan,1
Michael Singh,51,829,905022,932787,Business,17729,36,Personal Loan,0
Jennifer Sharma 57,67,720,847073,1016445,Self-employed,72,60,Education Loan,0
Aarav Khanna,37,392,369547,1182791,Government,10125,6,Education Loan,1
Patricia Verma,47,404,190079,598872,Contract,6213,60,Business Loan,1
Karan Nair 87,26,540,471732,383963,Business,0,48,Business Loan,0
Ishaan Singh 9,46,682,1089227,2561736,Business,0,18,Education Loan,1
Priya Joshi 88,63,807,1377902,4704521,Salaried,18109,60,Auto Loan,0
Pari Williams,39,418,914679,405941,Government,0,6,Business Loan,1
Inaya Rodriguez 87,25,651,772667,872849,Salaried,10453,60,Home Loan,0
Diya Nair,58,393,749966,1986865,Business,0,60,Business Loan,0
Aadhya Patel,44,569,427764,892895,Salaried,0,12,Auto Loan,1
Aarav Singh,54,461,552364,2265676,Business,10841,24,Education Loan,1
Priya Williams 93,64,418,1625688,4335203,Business,1961,6,Auto Loan,1
Rahul Khanna,37,641,339240,239310,Government,0,36,Home Loan,0
Patricia Nair,68,513,1573585,6955300,Contract,15275,12,Personal Loan,1
Karan Sethi 92,41,638,492270,2062963,Contract,501,6,Business Loan,1
Robert Davis 72,52,434,1322797,6223728,Salaried,0,12,Business Loan,1
Karan Patel,62,679,256763,185887,Salaried,0,12,Business Loan,0
Diya Bhatia,58,506,848769,3198361,Self-employed,0,36,Business Loan,1
Saanvi Murthy,42,762,383823,1150156,Salaried,385,36,Auto Loan,0
Barbara Nair,60,584,255464,1157342,Self-employed,6273,12,Business Loan,1
Saanvi Sethi 31,64,697,680865,1400561,Business,11822,60,Education Loan,0
Zara Davis,70,790,1094363,2941037,Self-employed,2871,18,Personal Loan,1
Saanvi Singh 80,39,354,359703,1258094,Business,0,18,Home Loan,1
Anvi Khanna,67,454,242945,608827,Government,0,36,Auto Loan,1
Ishaan Das,24,767,565176,974650,Salaried,4628,6,Auto Loan,1
Myra Das,56,331,566673,734556,Government,11301,48,Personal Loan,1
Michael Smith,52,791,829842,1994479,Government,0,6,Home Loan,1
Karan Miller 81,32,630,1055744,2206199,Government,32739,24,Auto Loan,1
Mary Mehra,51,793,576281,300722,Government,0,24,Business Loan,0
Inaya Joshi,35,531,1818098,7044944,Government,0,36,Personal Loan,1
Deepak Brown 17,40,828,683198,1518489,Salaried,9163,18,Auto Loan,1
James Reddy,40,575,485116,2341246,Self-employed,15617,48,Auto Loan,1
Michael Patel,24,332,227080,969552,Self-employed,4660,18,Education Loan,1
Aarav Garcia,31,319,510121,972128,Government,0,18,Auto Loan,1
Inaya Nair,26,473,488047,2151048,Self-employed,0,18,Home Loan,1
Rohan Rodriguez 41,61,767,1062550,1880564,Business,5149,24,Education Loan,0
Michael Garcia,49,502,788186,3200644,Self-employed,0,18,Business Loan,1
Linda Malhotra,56,574,294306,421207,Business,9448,6,Business Loan,1
Ishaan Rodriguez,66,672,662219,301069,Government,0,6,Home Loan,1
Michael Smith 63,36,484,893515,2916892,Business,6312,48,Business Loan,1
Anvi Khanna,25,430,1493777,6165405,Salaried,0,60,Education Loan,1
Myra Johnson,37,609,1017137,3498297,Salaried,31987,60,Education Loan,1
Pari Rodriguez,40,515,942704,3932303,Self-employed,0,60,Auto Loan,1
David Miller,55,732,619118,2519375,Salaried,20425,6,Home Loan,0
Vikram Williams,42,374,753879,1036844,Business,11639,18,Education Loan,1
Aadhya Sharma,55,441,1263887,4316689,Salaried,28295,18,Auto Loan,1
Deepak Singh,22,741,268426,193674,Contract,6460,60,Education Loan,0
Deepak Reddy,21,537,484240,373058,Contract,0,18,Home Loan,0
Rohan Sethi 98,29,316,375667,1315655,Business,766,12,Home Loan,1
Barbara Singh 72,52,548,749747,204263,Business,14540,60,Personal Loan,0
Jennifer Jones,32,462,1249349,5526709,Self-employed,0,18,Auto Loan,1
Anvi Martinez 49,30,817,417406,687617,Government,0,60,Auto Loan,0
David Mehra 30,59,548,150000,463700,Business,0,6,Education Loan,1
Priya Gupta,69,755,466338,1317562,Contract,12205,36,Personal Loan,1
Nisha Nair 66,36,756,1033110,2777490,Salaried,2451,36,Education Loan,1
Michael Iyer 88,54,599,824537,1764689,Salaried,20714,18,Business Loan,1
Jennifer Sharma,21,514,772132,3535254,Government,0,36,Education Loan,1
Mary Reddy,58,332,504843,1711290,Salaried,14910,48,Home Loan,1
Robert Rodriguez,24,773,277224,1360667,Self-employed,5847,60,Auto Loan,1
Nisha Oberoi,23,452,813561,1325930,Business,21126,6,Business Loan,1
Nisha Joshi 84,60,300,362011,282297,Self-employed,0,12,Business Loan,1
Jessica Smith,46,558,2214324,10000000,Government,0,48,Business Loan,1
Nisha Joshi 63,65,525,840964,1567157,Government,0,18,Home Loan,1
Priya Mehra,64,497,421515,107441,Salaried,0,24,Personal Loan,0
Ishaan Joshi,57,347,413812,200778,Government,0,60,Business Loan,0
Rohan Oberoi 71,45,324,564803,2289526,Self-employed,12490,6,Business Loan,1
Patricia Khanna,68,558,517258,2550269,Government,0,24,Personal Loan,1
Myra Smith,50,841,1167178,3211891,Contract,0,18,Personal Loan,1
Myra Nair 4,53,563,667870,1643250,Contract,16171,48,Personal Loan,1
James Sharma,61,738,385008,1444917,Contract,5833,18,Business Loan,1
Robert Brown,61,772,1856612,8130631,Business,46437,18,Business Loan,0
Mary Sharma 98,60,522,615127,2314701,Government,11070,60,Business Loan,1
Aditya Das,41,519,947236,1069678,Self-employed,0,36,Education Loan,0
Patricia Singh,30,702,414597,1979374,Government,0,18,Business Loan,1
James Nair,39,391,742567,3529193,Self-employed,8452,6,Business Loan,1
Michael Oberoi,43,819,719754,710036,Government,4205,24,Home Loan,0
Priya Jones 96,37,313,192184,532210,Contract,5640,6,Personal Loan,1
Aarav Khanna,35,361,2001014,4221093,Business,51949,24,Home Loan,1
Arjun Williams,27,300,1295473,3770345,Salaried,36749,60,Business Loan,1
Rahul Martinez,26,641,470561,437978,Government,12989,24,Personal Loan,1
Aarav Martinez,47,838,308241,1015634,Business,7584,18,Personal Loan,0
Anvi Davis,40,737,735670,2086675,Business,0,24,Auto Loan,1
Aadhya Patel,45,803,629083,2292225,Self-employed,12005,6,Business Loan,1
Rahul Brown,63,555,739257,2477707,Salaried,0,48,Personal Loan,1
Michael Singh,62,378,669942,1263179,Salaried,21125,48,Home Loan,1
Vikram Bhatia 20,42,728,809154,454298,Salaried,0,48,Education Loan,0
Jessica Smith 30,70,817,1423150,5568927,Salaried,0,60,Education Loan,0
James Sharma,56,821,839752,518991,Government,0,48,Home Loan,0
Anvi Joshi,34,569,318127,1485359,Business,2172,12,Auto Loan,1
Barbara Gupta,60,554,1352597,2116811,Self-employed,0,48,Auto Loan,0
Diya Malhotra,55,802,1598168,6036135,Self-employed,0,24,Auto Loan,1
Michael Oberoi,54,541,3957939,10000000,Contract,79691,48,Home Loan,1
Inaya Johnson,66,341,304340,873803,Business,0,60,Home Loan,1
Linda Oberoi,32,645,690885,1866638,Self-employed,21900,36,Business Loan,1
Rohan Sharma,27,752,171226,835360,Business,0,24,Business Loan,1
James Malhotra,60,710,832251,2227945,Business,3185,36,Home Loan,1
Myra Verma,65,447,429801,1383580,Business,0,48,Business Loan,1
Aarav Smith,49,566,1893746,6586754,Contract,30596,24,Auto Loan,1
Arjun Mehra,36,421,375206,397058,Government,0,36,Home Loan,0
Priya Nair,29,562,216747,420289,Business,5805,36,Education Loan,0
Jessica Oberoi 32,40,410,450107,1142629,Business,0,6,Auto Loan,1
Saanvi Smith,62,402,182536,293139,Government,3457,48,Personal Loan,1
Pari Miller,41,832,937207,1313893,Contract,22181,48,Personal Loan,0
Deepak Rodriguez,52,407,172983,793945,Government,5740,12,Education Loan,0
Jessica Patel,52,558,607480,162345,Contract,0,12,Personal Loan,0
James Das,31,470,171667,500862,Salaried,1495,6,Education Loan,1
Priya Brown,30,550,492781,1197458,Business,0,60,Business Loan,0
Deepak Gupta,31,543,1600820,4547376,Government,0,12,Business Loan,0
Priya Sharma,55,326,741469,2529752,Salaried,18991,36,Personal Loan,0
Aarav Sharma,33,767,355721,989893,Contract,10259,48,Business Loan,0
Michael Davis,24,495,586118,145584,Salaried,0,60,Education Loan,0
Saanvi Brown,31,509,603686,2650709,Contract,19011,24,Home Loan,1
Anvi Davis 9,58,360,792999,1853742,Self-employed,3544,48,Home Loan,1
Vikram Davis 20,63,718,262993,326102,Contract,2083,36,Home Loan,0
Priya Iyer 82,55,799,852169,2808198,Business,9974,6,Personal Loan,1
Jennifer Mehra 47,44,837,150000,392989,Government,742,36,Home Loan,0
Michael Gupta 13,48,383,409244,1383464,Salaried,0,36,Business Loan,1
Michael Malhotra,26,578,445537,1627974,Contract,847,60,Education Loan,1
Saanvi Reddy,31,343,873266,958925,Contract,14787,48,Personal Loan,0
Barbara Das,25,423,605359,1496077,Self-employed,6803,36,Auto Loan,1
Saanvi Sethi,23,478,256956,570510,Contract,4426,24,Auto Loan,1
Linda Bhatia,22,357,330712,951044,Salaried,0,60,Personal Loan,0
Vikram Davis,69,629,672803,1576071,Self-employed,13835,18,Auto Loan,1
James Singh 54,53,325,569525,2033530,Contract,0,60,Education Loan,1
Aadhya Williams,28,430,421900,1664778,Government,3842,12,Auto Loan,1
Vikram Garcia,23,304,447530,380406,Business,0,48,Personal Loan,1
Linda Malhotra,38,735,906821,401688,Business,14298,24,Home Loan,0
Nisha Khanna,36,355,437741,2070883,Contract,0,24,Home Loan,1
Zara Verma 87,24,337,566450,2060382,Government,0,48,Business Loan,1
Amit Gupta,37,437,2195591,919268,Self-employed,0,6,Auto Loan,1
Linda Singh,34,743,254178,1261929,Self-employed,7193,24,Auto Loan,1
Anvi Singh,53,723,196593,565353,Government,2359,48,Business Loan,1
Pari Bhatia,63,710,955656,1612596,Contract,7140,6,Personal Loan,1
Diya Smith,36,544,397445,624556,Contract,1804,18,Education Loan,1
Vikram Miller,65,618,493391,979387,Business,6342,60,Home Loan,0
Barbara Reddy,25,835,373736,262119,Government,2464,48,Business Loan,0
Zara Singh,38,467,510997,539198,Contract,11330,12,Home Loan,1
Zara Patel 60,67,389,1558326,917396,Salaried,37079,24,Business Loan,1
Mary Oberoi,37,302,966345,4210488,Contract,0,12,Business Loan,1
Jessica Murthy,38,781,1001825,1416469,Contract,0,48,Auto Loan,0
Pari Das,66,817,255317,563223,Government,771,36,Business Loan,0
Jennifer Reddy,24,599,299331,331493,Contract,3173,48,Personal Loan,0
Saanvi Brown,22,628,150000,169475,Salaried,0,24,Personal Loan,0
Nisha Khanna,61,844,367460,1400757,Business,7608,36,Business Loan,1
Saanvi Davis 82,31,725,1060257,2837334,Self-employed,0,36,Home Loan,1
Robert Gupta,36,656,814368,2436020,Business,0,48,Home Loan,0
Aadhya Iyer 26,32,678,522872,1843947,Salaried,3156,18,Auto Loan,1
Arjun Jones,32,776,589258,881504,Self-employed,0,60,Auto Loan,0
Inaya Oberoi,65,356,395010,370725,Salaried,8347,6,Home Loan,1
Diya Sharma 63,45,537,675261,2826638,Business,0,18,Business Loan,1
Karan Mehra 51,38,375,945554,3413148,Self-employed,17249,24,Personal Loan,1
Arjun Singh 12,38,533,226492,1074958,Salaried,4904,48,Business Loan,1
Rohan Brown 85,40,848,714821,1390746,Government,0,60,Home Loan,0
Aadhya Khanna,30,472,1044930,1495352,Business,32490,60,Home Loan,1
Linda Joshi 29,60,317,465533,102643,Business,14163,12,Business Loan,1
Karan Sethi,52,336,909290,3464072,Government,27356,48,Home Loan,1
Anvi Sharma,44,364,3232584,8805287,Self-employed,95141,36,Education Loan,1
Robert Sharma,23,344,560954,2466124,Business,17931,60,Home Loan,1
Zara Brown 52,61,697,756141,154745,Business,0,18,Business Loan,0
Arjun Patel 2,42,722,383527,1327447,Government,0,18,Education Loan,1
Jennifer Singh,41,847,665804,3115895,Contract,17513,48,Home Loan,1
Ishaan Singh,22,362,787141,1666080,Salaried,22758,60,Business Loan,1
Patricia Verma 32,45,547,671255,1229356,Salaried,17832,6,Auto Loan,1
Aditya Miller,46,411,323897,272451,Self-employed,0,36,Business Loan,0
James Verma,66,434,675911,2198653,Business,0,12,Auto Loan,1
Vikram Mehra,35,434,1435921,5621901,Salaried,0,6,Home Loan,1
Zara Nair,64,464,781664,1149698,Self-employed,0,48,Education Loan,0
David Martinez,35,465,1063623,3297228,Government,0,24,Business Loan,1
Jennifer Williams,47,799,518032,2092465,Business,0,60,Education Loan,0
Zara Davis,58,671,936533,1156195,Salaried,108,12,Personal Loan,1
Aditya Sharma,36,685,706134,326798,Government,21416,48,Auto Loan,0
Ishaan Murthy,68,502,337544,763100,Contract,0,18,Education Loan,1
David Patel 26,55,486,722962,2543238,Self-employed,3764,18,Business Loan,1
Ishaan Nair 29,33,834,329384,1205367,Salaried,0,18,Home Loan,1
Zara Sharma,52,328,408510,1594321,Business,11141,6,Personal Loan,1
Ishaan Khanna,31,489,669038,2029367,Self-employed,0,18,Business Loan,1
Jessica Miller,35,532,713791,3243656,Business,0,24,Home Loan,1
Karan Oberoi,50,585,292570,217115,Self-employed,5391,60,Home Loan,0
Pari Smith 47,60,381,1123985,4170604,Contract,0,12,Personal Loan,1
Aadhya Das,57,653,841720,407510,Self-employed,0,24,Home Loan,0
Jessica Oberoi,51,304,391273,1129167,Salaried,7864,18,Education Loan,1
Myra Khanna,61,658,237387,239120,Contract,0,36,Home Loan,0
Diya Davis,56,690,547466,1610976,Self-employed,17130,48,Personal Loan,1
Deepak Johnson,61,570,456997,2048759,Salaried,11363,6,Auto Loan,1
Michael Khanna 19,48,717,639143,1495178,Contract,0,48,Education Loan,0
Jennifer Reddy,40,795,480282,177671,Self-employed,4268,60,Auto Loan,0
Karan Williams,48,627,179068,268448,Self-employed,0,24,Personal Loan,1
Patricia Singh,70,512,473066,1181050,Business,0,60,Auto Loan,1
Zara Joshi,47,846,497140,689931,Salaried,14802,18,Home Loan,0
Jennifer Nair,44,467,873441,3267204,Government,0,24,Auto Loan,1
Inaya Patel,63,690,392809,626241,Self-employed,8213,60,Home Loan,0
Myra Gupta,23,370,1635084,6081171,Salaried,0,60,Auto Loan,1
Diya Nair,29,407,189665,140325,Contract,4529,48,Personal Loan,1
Saanvi Joshi 85,70,363,1311524,3027970,Self-employed,31999,60,Auto Loan,1
Aarav Khanna,34,316,521992,1890716,Government,0,18,Personal Loan,1
Aditya Johnson 88,34,376,1000240,340345,Business,0,6,Home Loan,1
Pari Patel,23,696,626485,1374025,Government,16912,48,Personal Loan,1
Rahul Singh 43,46,321,1183200,3455744,Salaried,0,12,Business Loan,1
Amit Reddy 70,45,417,473346,332593,Business,0,6,Business Loan,1
Patricia Verma,69,678,308916,975685,Business,0,24,Personal Loan,1
Aadhya Sharma,65,810,1400447,1535617,Business,0,6,Personal Loan,1
Amit Nair,49,448,557886,973598,Salaried,18381,18,Home Loan,1
Pari Murthy 5,68,738,682102,2343986,Self-employed,0,12,Home Loan,1
Aarav Martinez 95,62,543,1252749,4953707,Contract,39416,48,Auto Loan,1
Zara Nair,28,468,321523,1352409,Contract,7580,60,Education Loan,1
Robert Smith,54,758,853665,3684911,Business,9544,36,Auto Loan,1
Rohan Smith,66,638,419183,1735407,Self-employed,3641,12,Business Loan,1
Inaya Smith,46,747,551666,2478265,Contract,0,6,Personal Loan,0
Ishaan Iyer,29,779,623664,569021,Business,0,48,Business Loan,0
Pari Mehra,50,769,242769,640054,Salaried,4132,12,Auto Loan,1
Robert Mehra,26,524,374256,417960,Salaried,5668,12,Personal Loan,1
Robert Murthy,66,696,1343305,4414199,Salaried,0,60,Home Loan,0
Jennifer Verma,45,710,1016336,485950,Contract,14177,36,Business Loan,0
Patricia Sharma,21,545,575167,1839940,Contract,0,48,Business Loan,1
James Murthy,54,727,690985,896157,Self-employed,0,36,Education Loan,0
Diya Sharma 83,52,738,500545,120741,Business,0,36,Personal Loan,0
Barbara Singh,24,523,1347753,548057,Contract,0,6,Education Loan,0
Anvi Singh 38,40,379,529552,1592990,Business,14902,18,Home Loan,1
Anvi Sharma,59,343,686324,1587498,Salaried,17439,36,Personal Loan,1
Zara Rodriguez,47,805,1187805,3213023,Contract,0,12,Personal Loan,1
Mary Williams,28,789,374586,857868,Business,0,48,Personal Loan,0
Aadhya Smith 95,27,640,1521600,6282563,Business,33719,12,Home Loan,1
Priya Mehra 51,23,502,238404,1131173,Salaried,0,24,Auto Loan,1
Anvi Rodriguez,44,508,1587681,6201012,Business,47027,12,Auto Loan,1
Nisha Khanna,29,808,477535,97888,Salaried,0,24,Education Loan,0
Karan Bhatia,21,418,516267,110834,Self-employed,95,12,Home Loan,1
James Sharma,64,325,192142,570403,Business,3332,60,Auto Loan,1
Amit Iyer,46,566,454577,772628,Contract,0,12,Education Loan,1
Linda Rodriguez,25,744,320012,1536483,Self-employed,0,12,Business Loan,1
Deepak Murthy,42,575,414742,1636782,Salaried,0,24,Personal Loan,1
Michael Khanna 53,43,639,549966,1653571,Salaried,10774,24,Education Loan,1
Rohan Davis 74,34,496,1060949,3617456,Government,12458,36,Personal Loan,1
Priya Khanna,47,386,676414,2683671,Business,0,12,Home Loan,1
Linda Mehra,62,337,718273,2282891,Salaried,10495,12,Business Loan,1
James Oberoi,66,523,309492,1033343,Self-employed,165,12,Auto Loan,1
Nisha Das 44,31,507,352056,569603,Salaried,0,60,Home Loan,0
Nisha Sharma 67,59,718,1757204,724457,Salaried,0,24,Auto Loan,0
Pari Johnson,40,432,384184,1432325,Government,0,12,Education Loan,1
Rohan Williams,23,607,1613191,5912530,Business,0,12,Education Loan,1
Linda Rodriguez,37,686,516155,2531446,Government,389,6,Auto Loan,1
Aditya Malhotra,46,638,598015,2956243,Self-employed,14146,12,Personal Loan,1
Aarav Bhatia,59,406,1135086,3593965,Business,26334,36,Business Loan,1
Aditya Gupta 82,35,544,1280979,5973893,Business,3007,36,Education Loan,0
Jennifer Sethi,69,389,558780,1474157,Self-employed,10431,6,Auto Loan,1
David Khanna,43,324,473096,1134346,Business,0,60,Home Loan,0
Zara Singh 8,62,356,577490,1344258,Government,16692,18,Personal Loan,1
Karan Brown,61,692,731442,2649503,Self-employed,0,24,Home Loan,1
Rohan Nair 61,38,386,1019458,5073276,Salaried,24962,12,Education Loan,1
Amit Smith,70,460,598713,2880737,Business,8313,36,Auto Loan,1
David Patel,68,807,865732,2143160,Salaried,1971,60,Business Loan,1
Jessica Sethi 77,45,613,1596007,515709,Salaried,0,48,Education Loan,0
Pari Garcia,64,637,750718,3491322,Government,11163,12,Education Loan,1
Aadhya Sethi,35,604,719989,3388783,Government,6794,6,Home Loan,1
Aarav Jones,62,467,240062,529846,Business,5160,24,Auto Loan,1
Jessica Sharma,45,483,150000,357078,Business,0,60,Auto Loan,1
Saanvi Smith 97,57,552,753907,2340331,Business,8273,24,Auto Loan,1
Jessica Singh 34,49,334,564166,1011058,Business,7479,36,Home Loan,1
David Davis 9,56,779,438506,898250,Contract,0,24,Personal Loan,1
Priya Reddy 19,54,761,691154,346498,Business,11927,18,Auto Loan,0
Saanvi Nair,50,545,575939,1633220,Business,0,60,Home Loan,1
Zara Rodriguez 34,55,307,1174870,1935490,Government,15086,48,Education Loan,1
Zara Singh,49,710,628861,727556,Business,3649,12,Auto Loan,1
Arjun Singh,50,498,381492,956034,Contract,0,24,Personal Loan,1
Amit Brown,45,785,1081759,4602637,Self-employed,26052,12,Personal Loan,1
Karan Rodriguez,65,420,524248,1105873,Government,12552,24,Home Loan,1
Diya Nair 67,67,741,819067,2049051,Government,0,48,Personal Loan,1
Myra Iyer 81,32,428,448450,644261,Government,13300,36,Business Loan,0
Myra Verma,49,394,404377,1318977,Contract,4843,36,Home Loan,1
David Nair,41,454,628129,1927568,Salaried,542,36,Home Loan,1
James Patel,42,575,601810,491779,Business,17492,60,Personal Loan,0
